5.31e+06,1e+06,1000
5.2269e+06,1.0517e+06,1000
5.1415e+06,1.1066e+06,1000
5.0535e+06,1.1647e+06,1000
4.9631e+06,1.2262e+06,1000
4.6578e+06,1.4453e+06,1000.1
4.3242e+06,1.7042e+06,1000.1
3.9633e+06,2.0056e+06,1000.1
3.5779e+06,2.3483e+06,1000.2
3.1734e+06,2.7263e+06,1000.2
2.7617e+06,3.1329e+06,1000.3
2.3559e+06,3.557e+06,1000.4
1.968e+06,3.978e+06,1000.4
1.6475e+06,4.3307e+06,1000.5
1.3584e+06,4.6588e+06,1000.6
1.1051e+06,4.9583e+06,1000.7
8.8806e+05,5.2188e+06,1000.8
7.2792e+05,5.4085e+06,1000.8
5.9261e+05,5.5711e+06,1000.9
4.799e+05,5.7095e+06,1001
3.8691e+05,5.8244e+06,1001.1
3.0846e+05,5.9202e+06,1001.2
2.4516e+05,5.998e+06,1001.3
1.9456e+05,6.0612e+06,1001.4
1.5424e+05,6.1117e+06,1001.5
1.2573e+05,6.1469e+06,1001.6
1.0247e+05,6.1757e+06,1001.7
83575,6.1992e+06,1001.8
68223,6.2183e+06,1001.8
56247,6.2332e+06,1001.9
46442,6.2453e+06,1002
38438,6.2553e+06,1002.1
31894,6.2634e+06,1002.2
26598,6.2699e+06,1002.3
22260,6.2752e+06,1002.3
18715,6.2795e+06,1002.4
15814,6.2831e+06,1002.5
13428,6.2859e+06,1002.6
11477,6.2883e+06,1002.7
9884.3,6.2901e+06,1002.7
8581.9,6.2917e+06,1002.8
7497.4,6.2929e+06,1002.9
6613.7,6.2939e+06,1003
5895.3,6.2947e+06,1003.1
5309.8,6.2953e+06,1003.2
4814.9,6.2958e+06,1003.2
4414.8,6.2962e+06,1003.3
4092.1,6.2965e+06,1003.4
3831.2,6.2967e+06,1003.5
3606.4,6.2968e+06,1003.6
3427.2,6.2969e+06,1003.7
3284.9,6.297e+06,1003.8
3171.6,6.297e+06,1003.8
3072,6.2969e+06,1003.9
2994.6,6.2969e+06,1004
2934.7,6.2968e+06,1004.1
2888.2,6.2967e+06,1004.2
2846.8,6.2966e+06,1004.4
2815.8,6.2965e+06,1004.5
2792.9,6.2964e+06,1004.6
2775.8,6.2962e+06,1004.7
2760.5,6.296e+06,1004.8
2749.7,6.2959e+06,1005
2742.3,6.2957e+06,1005.1
2737.1,6.2955e+06,1005.2
2732.4,6.2953e+06,1005.4
2729.3,6.295e+06,1005.5
2727.7,6.2948e+06,1005.7
2726.6,6.2946e+06,1005.9
2725.5,6.2943e+06,1006.1
2724.9,6.294e+06,1006.3
2724.9,6.2937e+06,1006.5
2725,6.2934e+06,1006.7
2724.8,6.293e+06,1006.9
2724.8,6.2926e+06,1007.2
2725.2,6.2922e+06,1007.5
2725.6,6.2918e+06,1007.7
2727.4,6.2973e+06,1008.1
2727.6,6.2972e+06,1008.5
2724.6,6.2853e+06,1008.8
2724.6,6.2829e+06,1009.2
2725.6,6.2855e+06,1009.2
2726.1,6.2871e+06,1009.3
2726.4,6.2878e+06,1009.4
2726.5,6.2881e+06,1009.4
2726.7,6.2885e+06,1009.5
2726.8,6.2887e+06,1009.6
2726.9,6.2887e+06,1009.6
2727,6.2887e+06,1009.7
2727.3,6.2893e+06,1009.8
2727.5,6.2893e+06,1010
2727.2,6.2881e+06,1010.1
2727.1,6.2873e+06,1010.3
2727.8,6.2889e+06,1010.4
2728.1,6.2893e+06,1010.5
2727.5,6.2871e+06,1010.7
2727.2,6.2856e+06,1010.8
2728.7,6.2894e+06,1010.9
2729.2,6.2905e+06,1011.1
2727.7,6.2858e+06,1011.2
2726.9,6.2829e+06,1011.3
2729,6.2885e+06,1011.4
2729.9,6.2905e+06,1011.6
2728,6.2849e+06,1011.7
2726.9,6.2812e+06,1011.8
2728.5,6.2854e+06,1011.9
2729.2,6.2871e+06,1012
